,Vmag,Plx,e_Plx,B-V,SpType
559,6.19,  25.59,  0.75, 0.386,F2IV
560,11.79,   3.17,  2.20, 0.710,
561,8.22,   3.69,  1.00, 0.951,G5
562,7.93,   4.96,  0.97, 1.107,K0
563,10.18,   0.77,  1.61, 0.580,F5V
564,8.98,   6.64,  1.23, 0.567,F8
565,9.13,   1.34,  1.33, 1.125,K0
566,6.91,   3.69,  0.80, 1.123,K0III
567,8.79,   1.16,  1.17, 1.234,K3III
568,8.23,  18.71,  1.05, 0.580,G0
569,12.19,   3.82,  3.43,      ,
570,10.24,   3.82,  3.43, 0.402,F2/F3V
571,8.83,   2.00,  1.14, 1.114,G5
572,7.62,   3.73,  0.94, 0.955,G8III
573,8.96,   4.04,  1.13, 0.446,F3IV/V
574,10.41,   2.89,  1.90, 0.510,B8
575,8.97,   3.75,  1.18, 0.050,A
576,9.61,  15.97,  1.47, 0.761,G5
577,8.29,   8.40,  0.93, 0.387,F0
578,8.3,   0.43,  1.15, 1.552,M...
579,8.26,   4.01,  1.06, 0.494,F5
580,7.44,   7.12,  0.92, 0.203,A5
581,9.52,   4.40,  1.07, 0.190,A0V
582,8.2,   4.41,  0.71, 0.295,A3
583,8.68,   7.89,  2.34, 0.529,F5V
584,8.65,   4.33,  1.16, 0.061,A1V
585,10.52,   6.74,  2.27, 0.512,G0
586,8.41,   5.14,  1.01, 0.405,F3V
587,9.18,   5.85,  1.26, 0.333,F2
588,8.42,   4.84,  0.88, 0.345,A3
589,8.86,   3.28,  1.10, 1.552,M5
590,7.92,   4.03,  0.90, 1.054,K0
591,10.97,  -0.66,  2.25, 0.330,
592,8.85,   4.19,  1.28, 0.323,A3
593,9.31,   6.51,  1.20, 0.226,A9V
594,10.28,   6.34,  2.00, 0.503,F3V
595,7.56,  11.92,  0.61, 0.419,F5IV-V
596,7.88,   4.23,  0.74, 0.407,F2
597,7.99,   3.54,  1.00, 1.441,K0
598,8.23,  17.18,  1.00, 0.599,F8/G0V
599,8.52,   2.20,  1.24, 1.084,K1III
600,9.14,  17.98,  2.35, 0.740,G5
601,6.2,   6.24,  0.85, 0.133,A2IV/V
602,7.64,   5.87,  1.72, 0.493,F5
603,8.95,   8.23,  1.18, 0.653,G0
604,7.48,   2.87,  0.87, 1.532,K5III
605,7.06,  20.63,  0.91, 0.463,F5V
606,7.33,   9.37,  0.84, 1.011,K1IV
607,8.98,   1.52,  2.42, 0.739,G5
608,8.24,   7.19,  1.22, 0.271,A6:m...
609,8.53,   7.21,  1.14, 0.909,K0V
610,8.4,   2.19,  0.77, 1.014,G8III
611,7.48,   7.51,  0.77, 0.466,F5IV/V
612,8.46,   1.63,  1.06, 1.590,K0
613,9.29,   2.41,  1.07, 1.010,K0
614,8.57,   5.48,  0.94, 0.249,A5
615,8.7,  30.76,  1.21, 0.798,K0V
616,8.5,  10.08,  0.93, 0.451,F5
617,8.37,   8.86,  1.46, 0.595,F7V
618,6.87,   6.05,  0.77, 1.124,G5
619,7.5,   2.50,  0.69, 1.703,M1III
620,7.39,   2.53,  0.57,-0.018,B9IV
621,8.19,   8.21,  0.99, 0.584,F8/G0V
622,7.56,   2.74,  1.26, 0.900,G5
623,8.37,   9.73,  1.00, 0.379,F0
624,7.39,   5.37,  0.80, 1.008,K0
625,6.73,  10.14,  0.73, 0.951,G5
626,8.66,   2.38,  0.88, 0.790,G3III
627,8.25,   2.89,  1.06, 0.170,A0
628,8.47,   3.33,  1.15, 0.953,G5
629,8.01,   9.58,  0.89, 0.456,F5
630,6.83,   7.84,  0.65, 1.158,K1/K2III
631,9.06,   1.60,  1.32, 1.074,M2III:
632,8.79,   4.21,  1.16, 1.127,K2III
633,7.44,   7.19,  0.92, 0.478,F5
634,6.43,   6.69,  0.92,-0.146,B8IIIsp...
635,5.93,  12.45,  0.74, 0.141,A1V
636,8.85,   4.31,  1.43, 1.196,K0
637,9.86,   4.43,  1.32, 0.244,A2
638,8.55,   7.06,  1.33, 0.964,G5
639,7.66,   5.76,  0.78, 0.181,A3
640,7.82,  21.83,  0.84, 0.610,G0
641,9.08,  11.55,  1.40, 0.595,G0
642,10.1,   5.57,  1.58, 0.570,F8
643,8.21,   3.50,  1.11, 1.087,K0/K1III
644,8.85,   7.79,  2.24, 0.631,G3:V: + G2:
645,7.79,   1.17,  0.67, 1.450,K3III
646,7.58,   3.64,  0.94, 1.271,K1IV
647,7.85,  10.66,  0.99, 0.505,F5V
648,7.18,   8.95,  0.60, 0.156,A3V
649,7.54,   3.83,  0.93, 0.408,F2
650,9.72,   6.43,  1.39, 0.434,F3/F5V
651,7.12,   8.19,  0.74, 0.184,A5
652,9.77,   6.67,  1.50, 0.306,A8/A9V
653,8.84,   4.37,  1.17, 1.042,K0III
654,5.67,  10.02,  0.71, 1.119,K1III
655,8.15,   9.77,  0.98, 0.617,F8
656,9.61,   3.92,  1.34, 0.961,G5
657,8.19,   3.44,  1.16, 1.079,G5
658,7.27,   4.90,  0.76, 0.207,A3
659,8.51,   3.26,  0.84, 0.215,A0
660,8.36,   2.42,  0.93, 1.113,K1IIICN...
661,10.0,   4.93,  1.47, 0.550,G0
662,8.74,   1.92,  0.83, 1.227,K2III
663,6.18,   3.25,  0.96, 1.366,K2III
664,10.26,   7.53,  1.63, 0.730,G0
665,10.16,   5.68,  2.36, 0.393,F5V
666,8.31,   4.08,  1.06, 1.053,K0
667,8.58,   3.46,  0.97, 0.915,G5
668,7.04,  36.18,  1.02, 0.624,G2/G3V
669,8.81,   3.75,  1.19, 0.310,A2
670,5.99,   9.79,  0.92, 1.034,G8III:
671,8.22,   3.50,  1.43, 1.064,K1III
672,9.86,   7.73,  3.35, 0.789,K0V
673,8.0,   2.84,  1.05, 1.193,G5
674,9.4,  10.70,  1.27, 0.570,G0
675,9.1,   3.83,  1.17, 1.169,K1IV
676,2.07,  33.60,  0.73,-0.038,B9p
677,8.11,   2.18,  0.95, 0.098,A0
678,8.89,   2.80,  1.10, 1.179,K1III
679,9.43,   1.52,  1.51, 0.470,F2V
680,7.59,  25.15,  0.97, 0.626,G2V
681,8.72,   2.88,  1.35, 0.071,A0
682,9.86,   2.30,  1.46, 0.157,A3III
683,9.23,   0.65,  1.34, 0.988,K0III
684,9.5,   5.59,  1.50, 0.493,G:III/IV+..
685,10.73,  45.64,  1.92, 1.460,M0
686,7.59,   7.60,  0.89, 0.508,F3/F5V
687,7.41,  12.72,  0.86, 0.606,F8
688,9.26,  11.01,  0.95, 0.675,G3/G5IV/V
689,7.78,  14.43,  0.96, 0.358,F5
690,7.76,   2.77,  1.26, 1.618,K2
691,8.94,   9.47,  1.13, 0.419,F5
692,8.95,   2.30,  1.37, 0.435,F2
693,6.41,   2.17,  0.63, 0.998,G3II
694,6.11,   2.42,  0.79, 1.664,M0/M1IIICNp
695,7.76,   8.84,  0.94, 0.415,F2
696,7.38,   2.89,  0.71, 1.326,K3III
697,6.21,  30.26,  0.69, 0.504,F8IV
698,7.05,   5.97,  1.04, 0.963,G5
699,7.44,   6.36,  0.66,-0.006,A0
700,8.5,   5.07,  1.56, 0.406,F2III/IV
701,7.84,   5.19,  0.91, 1.125,K0
702,11.01,  -2.92,  2.50, 1.500,
703,7.88,   5.03,  0.85, 0.473,F3V
704,9.1,   3.19,  0.96, 1.113,K0III
705,8.65,   6.86,  1.05, 0.471,F3V
706,8.41,  16.24,  0.70, 0.588,G2V
707,7.81,   8.58,  0.86, 0.481,F5IV
708,7.43,  11.61,  1.01, 0.296,F0
709,8.76,   0.97,  1.18, 0.965,G5
710,7.58,   4.72,  0.82, 0.994,G5
711,9.55,   4.78,  1.13, 0.473,F5V
712,6.82,   3.19,  0.76, 1.568,K5
713,10.24,   1.80,  1.68, 0.460,F0
714,6.24,   7.78,  0.81, 0.976,K0III
715,7.31,   1.36,  1.53, 1.430,K2
716,10.52,   3.40,  1.82, 0.510,F5
717,9.27,   0.25,  1.21, 1.146,K1III
718,7.13,   3.16,  0.96, 1.640,M2III
719,9.14,   2.60,  1.43, 1.053,K1III
720,8.48,  12.89,  1.03, 0.537,G0
721,8.57,  31.34,  2.10, 0.885,G5
722,7.21,   7.86,  1.07, 1.087,K0III
723,9.05,   1.01,  1.33, 1.640,K5
724,7.72,  18.22,  0.95, 0.620,G0V
725,8.03,   7.70,  0.96, 0.364,A3
726,6.47,   8.65,  0.94, 0.242,A4Vm
727,5.57,  11.17,  0.72, 1.043,G9III
728,6.32,   7.00,  0.74, 0.738,G4IV...
729,7.78,   6.49,  0.82, 0.417,F3IV/V
730,11.65,  22.50,  2.96, 1.260,M1
731,8.58,  10.46,  1.13, 0.714,G5
732,10.37,   3.89,  1.60, 0.432,F2
733,9.23,   6.32,  1.08, 0.383,F5
734,9.2,   8.35,  1.16, 0.811,G8V
735,6.93,  16.09,  0.75, 0.800,G5
736,11.73,  42.82,  2.61, 1.493,
737,9.32,   4.32,  1.37, 0.549,F6V
738,7.11,   8.73,  0.77, 0.476,F5
739,9.79,   0.11,  1.41, 1.010,K1
740,8.21,   2.98,  1.01, 1.339,K3III
741,8.42,   1.37,  1.61, 1.400,K1
742,7.05,   3.15,  0.72,-0.122,B5V
743,9.26,   6.75,  1.19, 0.671,G3V
744,2.28,  59.89,  0.56, 0.380,F2III-IV
745,8.77,   4.80,  2.04, 0.461,G5
746,9.25,   5.87,  1.08, 0.537,G0
747,9.3,   4.36,  1.46, 0.972,K2III
748,10.63,  12.20,  9.40, 0.525,
749,9.9,   4.56,  1.26, 0.561,F8
750,9.89,   6.48,  1.77, 0.617,F8
751,9.33,  17.75,  1.21, 0.812,G0
752,7.78,  22.07,  2.31, 0.680,G0
753,7.02,  17.03,  0.69, 0.932,K0
754,11.26,   5.08,  2.00,      ,
755,8.89,   1.97,  1.11, 1.033,G8III
756,9.6,   7.75,  1.28, 0.446,F6V
757,7.07,  19.28,  0.79, 0.644,G2III
758,6.01,   8.56,  1.17, 0.203,A7IV
759,5.42,  14.57,  1.34, 0.414,F3V
760,9.11,  11.89,  1.31, 0.830,G8/K0V
761,8.24,   1.42,  1.15, 0.080,B5V
762,8.97,   6.32,  1.20, 0.442,F0
763,3.88,  23.28,  0.98, 1.013,K0III
764,8.59,   7.58,  1.20, 0.484,F5
765,7.17,   4.96,  0.74, 0.031,B9
766,7.94,  13.80,  1.30, 0.660,G3V
767,7.27,   4.21,  1.00, 1.220,G5
768,9.59,   1.88,  1.40, 0.490,G0
769,7.94,   2.08,  1.14, 1.439,K0
770,8.52,  16.26,  0.98, 0.687,G3V
771,7.59,   5.36,  0.88, 1.005,G8IV
772,9.17,   1.78,  1.37, 1.029,K1III
773,8.08,   4.57,  0.82, 1.068,K1III
774,9.8,   3.03,  1.50, 0.524,F5/F6V
775,8.92,   8.17,  1.89, 0.499,F5V
776,9.91,   4.45,  1.34, 0.355,F0V
777,9.42,   4.76,  2.01, 1.565,M1Ibpev comp
778,8.84,   2.91,  1.13, 1.128,K0
779,10.15,   1.40,  2.33, 1.500,M3e-M8e
780,8.37,   3.25,  1.50, 0.952,G8III
781,9.33,  -0.54,  1.36, 1.630,K2/K3
782,9.35,   0.55,  1.21, 0.075,B8
783,7.4,   4.31,  0.70, 1.571,M2III
784,8.35,   6.90,  1.41, 0.437,F3/F5V
785,9.53,  23.86,  1.59, 0.965,K1/K2V
786,9.59,   6.24,  1.42, 0.469,F5
787,10.05,   0.16,  1.39, 0.486,F8
788,8.57,  13.92,  1.11, 0.644,G3V
789,8.48,   5.62,  1.04, 0.560,G0
790,8.43,  12.54,  1.23, 0.906,G5
791,8.45,   3.57,  1.05, 0.955,G5
792,8.84,  17.08,  1.86, 0.833,K1V
793,11.18,   1.31,  1.92,      ,
794,8.64,  14.21,  4.23, 0.716,G5
795,8.42,   4.58,  1.13, 0.410,F5
796,6.34,   7.37,  0.57, 0.164,A6V
797,7.93,   2.27,  1.15, 1.301,K0
798,8.36,   5.18,  1.15, 1.072,K0
799,8.32,  18.80,  1.05, 0.595,G2/G3V
800,7.77,   1.52,  1.13, 1.219,G5
801,6.84,   2.68,  1.06, 1.611,K2
802,8.78,   8.36,  0.83, 1.011,K1IV/V
803,7.19,   4.44,  0.79, 0.974,K1II
804,8.5,   1.70,  1.10, 1.166,K5
805,8.82,   5.80,  1.28, 0.620,F8
806,9.04,   7.14,  1.07, 0.542,G5
807,7.93,   4.37,  0.77, 0.964,K0III
808,7.66,   6.14,  0.89, 0.139,A2V
809,10.07,  -0.35,  2.70,      ,Gp...
810,9.03,   1.27,  1.07, 1.014,K0
811,5.54,  10.04,  0.86,-0.064,B9V
812,5.29,  13.45,  0.50, 1.049,K1/K2III
813,8.13,   9.63,  0.81, 0.456,F3V
814,7.51,   7.21,  1.55, 0.251,A3+...
815,9.08,   1.56,  0.89, 1.031,G8III/IV
816,7.1,  10.24,  1.21, 0.345,F0
817,7.88,  11.15,  0.68, 0.476,F5V
818,9.4,   1.08,  0.93, 0.539,F8
819,9.06,   4.59,  1.12, 0.293,A0
820,8.38,   7.73,  0.70, 0.371,F5
821,10.65,  10.83,  2.10, 1.077,K8
822,7.77,   3.13,  0.90, 1.603,M...
823,8.5,   4.15,  1.03, 1.042,K0
824,8.61,   3.05,  1.08, 1.156,G5
825,10.05,   6.95,  1.59, 0.700,G0
826,8.71,   3.60,  1.01, 0.594,F0
827,9.37,   4.95,  1.42, 0.409,F0V
828,6.97,   3.21,  0.60, 1.377,K3III
829,8.56,   8.50,  2.90, 0.524,F5V
830,9.34,  -2.57,  1.52, 0.815,G8V
831,9.47,   6.10,  1.56, 0.526,F7V
832,8.11,   4.74,  0.83, 1.032,K0
833,8.91,   3.93,  1.13, 0.356,F0III
834,7.83,   1.12,  0.83, 1.311,G8III
835,8.95,   2.74,  1.18, 1.104,K0
836,7.2,   2.98,  0.81,-0.053,B9
837,9.37,   5.26,  0.97, 0.411,F2/F3V
838,5.84,  18.18,  0.92, 0.973,K1III
839,5.01,   3.24,  0.68, 0.405,F2II
840,9.81,   3.85,  1.39, 0.437,F3V
841,9.27,   2.76,  1.18, 1.120,K0
842,9.5,   7.14,  1.38, 0.423,F3/F5V
843,9.32,   4.82,  1.18, 0.511,F5V
844,8.92,  13.53,  1.28, 0.578,G2V
845,8.38,  10.15,  1.04, 0.508,F7V
846,7.74,  10.35,  0.82, 0.473,A
847,8.6,   3.27,  1.20, 1.042,K0
848,9.49,   4.92,  3.74, 1.232,K2III:
849,8.35,   6.17,  1.02, 0.528,F7V
850,7.11,   3.65,  0.87, 1.528,M4III:
851,9.87,   4.11,  2.38, 0.503,F2V
852,8.98,   7.48,  1.29, 0.471,G0
853,7.75,   1.83,  1.07, 1.487,K0
854,8.24,  12.91,  1.06, 0.491,F6V
855,6.74,   6.52,  0.73,-0.074,B7IV
856,6.83,   4.74,  0.76, 1.429,K4III
857,7.7,   7.10,  0.92, 0.144,A0
858,6.7,   1.66,  0.61,-0.017,B1V
859,8.67,   3.45,  1.27, 1.037,K0III
860,9.94,  13.51,  2.44,      ,G8V
861,8.73,   5.51,  0.84, 0.563,F7IV
862,9.63,   0.66,  1.37, 1.462,M0
863,6.66,  15.06,  0.70, 0.372,F3/F5IV+...
864,8.29,   5.16,  0.87, 0.077,A0
865,8.47,  15.57,  1.17, 0.574,G5
866,8.16,   2.91,  0.97, 1.165,K2
867,8.97,   8.77,  1.49, 0.497,F5
868,7.51,  18.20,  0.91, 0.503,F8
869,8.97,   1.74,  2.12, 0.674,B7IIIe+K3III
870,8.55,   4.38,  1.15, 0.692,G3V
871,5.84,  15.35,  0.74, 1.000,K0III
872,7.85,   3.75,  0.81, 0.099,B9
873,8.68,   7.95,  1.08, 0.588,G2V
874,8.05,   4.86,  0.81, 0.878,G5
875,8.27,   1.62,  0.92, 0.146,B7V
876,7.68,   3.48,  1.04, 1.028,K0III
877,9.4,   9.43,  1.00, 0.551,F5IV
878,7.77,   8.80,  0.80, 0.405,F2
879,6.89,   4.70,  0.82, 0.951,K0III
880,7.55,   2.46,  0.87, 1.354,M...
881,8.27,   7.77,  2.24, 0.517,F6IV/V
882,8.16,   2.91,  1.17, 1.677,K5
883,8.07,   2.95,  0.80,-0.015,B9
884,7.91,   4.00,  0.90, 0.024,A0
885,7.71,   2.25,  0.98, 1.253,K1/K2III
886,10.16,   4.41,  1.82, 0.689,G2
887,8.41,  16.45,  0.95, 0.575,G5
888,8.88,   1.02,  1.19, 1.169,K1III
889,9.64,   1.44,  1.17, 0.560,B5
890,7.93,   3.61,  1.11, 1.096,K2
891,7.78,   4.53,  1.05, 1.302,M3III
892,8.9,   6.25,  1.13, 0.500,F5
893,8.55,  12.60,  1.18, 0.435,F5V
894,9.15,   9.37,  1.25, 0.477,F8
895,10.86,  39.19,  2.29, 1.418,M2
896,11.55,  24.32,  3.25, 1.395,M2V:
897,9.08,   0.90,  1.37, 1.076,G5
898,7.44,   3.61,  0.94, 0.998,G5
899,10.35,  -0.33,  1.60, 1.269,M0
900,6.68,   4.43,  0.73, 1.212,K1III
901,8.85,   4.41,  0.77, 0.585,F8/G0V
902,8.9,   8.36,  1.21, 0.473,F8
903,8.24,   7.22,  0.89, 0.184,A2
904,6.74,   3.88,  0.89, 1.025,G5
905,10.75,   4.01,  2.07, 0.863,K0
906,8.44,   2.61,  1.17, 1.330,K0
907,7.69,   4.21,  1.02, 1.163,K2
908,4.89,  52.94,  0.77, 0.487,F5V
909,11.8,   6.13,  5.67, 0.570,F4
910,8.88,   4.78,  1.23, 1.140,K2III
911,7.7,   5.09,  1.26, 1.200,K0III/IV
912,8.6,  15.08,  1.10, 0.700,G6V
913,8.44,   1.58,  1.05, 0.127,A3V
914,9.5,  35.69,  5.14, 1.254,K7
915,9.03,   0.82,  1.19, 1.406,K0
916,7.15,   6.06,  0.67, 1.004,K0
917,7.95,  29.35,  0.95, 0.755,K0V
918,8.23,  18.60,  0.91, 0.581,G0
919,9.81,   4.63,  1.57, 0.515,G0
920,8.48,  11.58,  1.13, 0.473,F3V
921,9.33,   3.47,  1.90, 0.940,K0
922,8.97,  20.86,  2.16, 0.807,G6/G8V
923,8.08,   2.54,  1.14, 1.122,K2
924,7.47,   2.26,  0.85, 1.532,K0
925,8.34,   4.31,  1.11, 0.409,F3V
926,7.75,   4.71,  0.89, 1.152,K2III
927,8.34,  17.00,  0.82, 0.619,G4V
928,5.41,   5.61,  0.92, 1.346,K2III
929,7.56,   9.91,  1.48, 0.551,F8...
930,6.93,   7.77,  0.88, 0.994,K0III
931,10.03,  21.87, 24.76, 1.293,K2
932,8.69,   6.73,  1.13, 0.185,A0
933,9.04,  27.46,  1.09, 0.891,K1V
934,8.32,   4.04,  1.09, 1.120,K2
935,7.85,   7.57,  1.06, 0.561,F7V
936,7.21,   4.78,  0.59, 0.916,G8III
937,8.98,   3.36,  1.48, 0.966,K0IV
938,7.09,   2.16,  0.77, 0.137,B5II: SB
939,8.85,   8.01,  0.94, 0.518,F6V
940,9.21,   0.53,  1.02, 0.142,A0V
941,8.61,  20.55,  1.21, 0.643,G0
942,7.91,   7.11,  1.08, 1.126,K0p...
943,7.47,   2.14,  1.60, 0.200,B8
944,8.65,   5.08,  1.17, 1.000,K0
945,8.53,   6.88,  1.58, 0.515,F5
946,9.92,  29.15,  1.54, 1.071,K5V
947,8.09,   4.25,  0.94, 0.228,B9
948,5.24,  45.85,  0.66, 0.459,F3/F5V
949,7.06,   1.15,  0.74, 0.630,F5Ib-II
950,8.45,  10.91,  1.15, 0.481,F5V
951,8.73,   9.29,  1.09, 0.646,G3/G5V
952,7.45,   7.81,  0.96, 0.891,G5
953,9.02,  16.48,  1.49, 0.599,G3V
954,7.51,  12.79,  1.43, 0.491,F5
955,7.32,   1.99,  0.98, 0.038,A0
956,8.17,   1.34,  1.10, 1.140,K0III
957,9.45,   4.21,  1.44, 0.260,A0
958,9.72,   9.92,  1.46, 0.557,G1V
959,9.34,  10.46,  1.33, 0.695,G5V
960,8.75,   4.77,  1.28, 1.125,G5
961,9.32,   3.89,  1.25, 0.625,G3V
962,7.91,  10.93,  1.05, 0.392,F2V
963,7.49,   2.05,  0.98, 1.600,K4III
964,6.53,   7.97,  0.79, 1.041,K0III
965,6.18,   5.93,  0.70, 1.467,K4III
966,8.69,   2.85,  1.26, 0.403,F0
967,6.58,   6.88,  0.76, 0.990,K0III
968,7.8,   0.15,  0.90, 1.634,M1III
969,7.19,  10.90,  0.86, 0.398,F0
970,8.17,   3.49,  1.01, 1.048,K0
971,6.56,   6.05,  0.87, 1.074,K0III
972,8.73,  38.88,  1.22, 1.045,K0
973,7.62,  17.21,  0.76, 0.758,G5IV/V
974,8.66,  10.57,  1.33, 0.430,F5
975,8.68,   0.00,  1.19, 1.290,K2III
976,8.2,   2.97,  0.97, 1.269,K0
977,8.96,   3.11,  1.44, 1.243,K0
978,7.36,   6.68,  0.87, 1.082,K0
979,6.87,   9.42,  0.74, 0.262,F0
980,7.6,   3.46,  0.87, 1.314,K0
981,5.29,   5.33,  0.87, 1.478,K4III
982,9.12,   4.88,  1.22, 0.479,F8
983,8.25,   9.81,  1.21, 0.448,F5V
984,7.43,  10.44,  0.83, 0.335,F0
985,8.88,   1.79,  1.24, 1.047,K0III/IV
986,7.95,  -0.41,  0.93, 1.537,M...
987,7.69,   2.89,  0.85, 1.709,M...
988,8.94,   4.70,  1.22, 1.151,K2III
989,10.58,   8.64,  1.94, 0.600,G0
990,10.05,   9.10,  1.47, 0.643,G3/G5V
991,8.88,   2.01,  1.30, 0.934,G5
992,9.0,   5.47,  0.93, 0.415,F3V
993,8.24,   3.99,  1.02, 1.583,K5
994,8.18,  19.39,  1.00, 0.669,G5
995,9.91,   2.90,  1.53, 0.521,F6V
996,8.88,   1.76,  1.01, 0.022,A0
997,8.44,  24.69,  1.20, 0.739,K0
998,8.73,  15.32,  1.34, 0.707,K0V+...
999,9.12,   4.61,  1.40, 0.471,F3V
1000,9.23,   5.62,  1.23, 0.995,K0III
1001,8.66,  21.09,  1.23, 0.743,G8/K0V
1002,8.88,   4.78,  1.04, 0.352,F0
1003,8.14,   5.39,  1.46, 0.364,F0V
1004,11.67,  34.54, 11.74, 1.480,
1005,7.44,   0.07,  0.83, 1.522,K0
1006,7.22,   1.73,  0.60, 0.054,B9.5IV
1007,6.5,   6.30,  0.82, 1.112,K0
1008,10.07,   2.07,  1.54, 0.724,G2
1009,7.01,   5.28,  0.80, 1.106,K0
1010,8.15,   5.91,  0.96, 0.029,A1V
1011,7.95,  15.34,  0.99, 0.945,K1IV
1012,8.18,   1.12,  0.96, 1.363,K0
1013,10.72,   4.48,  2.09, 0.565,F8
1014,9.56,   7.06,  1.25, 0.659,F8V
1015,8.51,   4.18,  0.96, 0.873,G6III
1016,7.22,   4.68,  1.06, 1.051,K0
1017,7.53,   4.24,  0.87, 0.980,K0III
1018,9.27,   8.04,  1.34, 0.790,G5
1019,10.78,   3.81,  1.97, 0.650,
1020,9.85,  15.90,  1.78, 0.939,K0
1021,7.34,   2.37,  0.83, 1.639,K2
1022,9.55,   4.23,  1.08, 0.353,A5
1023,8.19,   2.79,  1.21, 1.345,K0
1024,6.63,  18.06,  0.76, 0.402,F2
1025,8.63,   4.71,  1.17, 1.100,K0
1026,8.8,   6.35,  1.36, 0.725,G3/G5V
1027,9.86,   5.72,  1.59, 0.601,F7/F8V
1028,6.71,   1.21,  0.80,-0.116,B2V
1029,7.22,  49.18,  0.78, 0.775,K0V
1030,8.49,   1.97,  1.24, 1.630,K5III
1031,7.37,   2.47,  0.94, 1.619,M...
1032,10.51,   5.93,  1.93, 0.570,G0
1033,8.84,   4.68,  1.09, 0.426,F5
1034,10.54,   0.03,  1.54, 0.820,
1035,8.39,   2.51,  1.01, 1.223,K0
1036,8.19,   7.41,  1.07, 0.407,F0
1037,7.94,   0.92,  0.81, 0.501,A9Iab:
1038,8.62,   5.43,  1.70, 0.505,F8
1039,10.59,  -4.40,  4.78,      ,WC8
1040,7.8,   2.95,  0.75, 1.099,F2V
1041,7.17,   8.09,  0.76, 0.202,A2
1042,10.74,  27.50,  1.94, 1.308,K5
1043,10.1,   5.52,  1.48, 0.584,F8
1044,6.66,   6.07,  0.95, 0.961,G8/K0III
1045,9.94,   5.79,  1.76, 0.626,G0V
1046,7.69,   5.76,  0.84, 0.958,G5
1047,7.62,   4.70,  0.84, 1.217,K0
1048,11.44,   1.56,  3.02, 1.200,M0V:
1049,8.75,  11.11,  1.11, 0.401,F5
1050,7.58,   6.40,  1.12, 1.097,K0
1051,9.02,   9.18,  0.94, 0.489,F5
1052,9.03,   3.85,  1.46, 1.263,K2III
1053,10.41,  24.96,  2.95, 1.360,M0
1054,6.52,   7.17,  0.78, 1.050,K1III
1055,8.17,  -0.86,  1.15, 0.899,G8III
1056,7.57,  14.72,  0.86, 0.453,F5IV
1057,10.01,   2.43,  2.22, 0.856,G0
1058,10.68,   5.84,  3.90, 0.689,G2
1059,8.39,   3.67,  0.99, 1.050,G5
1060,8.05,   1.79,  1.13, 1.165,K2
1061,6.63,   8.55,  0.63, 0.226,Am...
1062,9.17,   5.06,  1.33, 1.005,K0
1063,7.55,   5.66,  0.98, 1.240,K1/K2III
1064,7.21,   3.38,  0.91, 1.530,K3/K4III
1065,2.83,   9.79,  0.81,-0.190,B2IV
1066,12.49,  37.30,  6.34, 1.400,M6
1067,7.44,   5.17,  0.92, 1.279,K1/K2III
1068,8.83,   4.39,  1.10, 1.136,K0
1069,7.98,  11.12,  1.08, 0.396,F2V
1070,7.45,  10.64,  0.90, 0.480,F5IV/V
1071,7.72,  10.64,  0.91, 0.333,F0
1072,5.78,   4.00,  0.49, 1.710,M0/M1III
1073,7.32,   3.60,  0.78, 0.061,A0
1074,6.24,   8.08,  1.15, 0.680,G0III
1075,10.24,   0.12,  1.55, 0.570,B2.5V
1076,9.86,  28.30,  1.48, 1.190,K7
1077,8.72,   3.88,  1.27, 1.037,K2III
1078,10.88,   1.80,  1.42, 0.390,
1079,8.44,   2.49,  0.99, 1.079,K0III
1080,10.68,   1.92,  5.38, 0.738,
1081,10.77,  36.74,  2.54, 1.444,
1082,8.84,   4.32,  0.97, 1.202,K2III
1083,9.05,  30.00,  1.25, 0.913,K1V
1084,5.71,  28.57,  0.74, 0.331,F0IV
1085,9.58,   1.79,  1.52, 1.000,K2
1086,8.58,   4.09,  1.12, 0.178,A5IV
1087,8.2,   4.67,  0.89, 0.083,A0
1088,7.98,   7.03,  0.89, 0.214,A2
1089,9.22,   2.87,  1.09, 0.993,K0III
1090,11.14,  51.12,  3.31, 1.556,M0
1091,7.26,   4.88,  0.76, 1.257,K0
1092,10.96,  11.12,  2.34, 0.952,
1093,8.65,   5.97,  3.04, 0.442,F2
1094,5.94,   3.22,  0.83, 1.548,K5III
1095,8.99,   4.25,  1.45, 1.134,K0III
1096,8.08,   7.52,  1.27, 1.055,G5
1097,6.14,   4.23,  0.80, 1.490,K4III
1098,8.59,   4.06,  1.13, 0.097,A0
1099,6.97,   9.78,  0.91, 0.180,A5IV
1100,6.86,   6.48,  0.94, 1.096,K1IIICNIV
1101,7.41,  13.08,  0.96, 0.440,F2
1102,8.73,   1.46,  1.01,-0.117,B3
1103,8.07,   9.34,  0.82, 0.559,G0
1104,8.54,   2.50,  1.15, 1.310,K2III
1105,6.79,   2.79,  0.81, 1.257,K0
1106,8.96,   8.59,  1.20, 0.465,F0
1107,9.08,   1.55,  1.24, 1.155,K0
1108,9.48,   1.40,  1.24, 1.580,M2
1109,8.9,   1.09,  1.07, 1.633,K5
1110,9.09,   6.24,  1.95, 0.631,G5V
1111,8.76,  22.86,  0.87, 0.743,G6V
1112,7.15,  14.45,  0.76, 0.513,F6V
1113,7.39,   3.24,  1.03,-0.165,B4V
1114,8.93,  10.74,  1.17, 0.628,G1V
1115,8.74,  -0.03,  1.25, 1.297,K0
